ticket_id,request_date,customer_id,customer_name,region,country,industry,request_type,request_description,business_value_usd,priority,risk_level,legal_required,product_required,owner_business,owner_legal,owner_product,status,deadline,close_date,response_summary,need_cross_team,response_days,is_overdue,suggested_action,block_revenue_flag
TICKET_000,2026-06-01,CUST_010,东南_Sa_010,东南亚,马来西亚,金融科技,专属部署要求,客户合规需求说明,50851,P1,中风险,0,1,业务,法务,产品,待法务确认,2026-06-01,,待响应,1,29,1,评估专属部署可行性、资源成本、交付周期和商业报价影响,0
TICKET_001,2026-06-01,CUST_022,东南_游戏_022,东南亚,新加坡,游戏出海,合同责任条款修改,客户合规需求说明,21750,P0,高风险,1,0,业务,法务,产品,已关闭,2026-06-06,2026-06-09,待响应,1,8,1,提交法务评估合同修改诉求，明确责任边界、服务可用性和客户使用限制,0
TICKET_002,2026-02-01,CUST_002,欧洲_Sa_002,欧洲,德国,跨境电商,日志留存要求,客户合规需求说明,52526,P1,中风险,0,1,业务,法务,产品,处理中,2026-04-01,,待响应,1,149,1,拉通产品确认日志留存周期、审计能力、访问权限和可配置范围,0
TICKET_003,2026-03-01,CUST_009,东南_Sa_009,东南亚,泰国,跨境电商,数据处理协议/DPA,客户合规需求说明,25308,P1,低风险,1,0,业务,法务,产品,已关闭,2026-04-01,2026-03-04,待响应,1,3,0,提交法务评估 DPA 条款，确认数据处理角色、责任边界和客户签署要求,0
TICKET_004,2026-02-01,CUST_039,拉美_金融_039,拉美,巴西,教育科技,客户数据是否用于模型训练,客户合规需求说明,54377,P1,低风险,1,1,业务,法务,产品,新建,2026-06-01,,待响应,1,149,1,确认客户数据是否用于模型训练、是否隔离存储，并形成标准说明材料,0
TICKET_005,2026-02-01,CUST_024,拉美_Sa_024,拉美,墨西哥,跨境电商,第三方模型调用说明,客户合规需求说明,93652,P0,高风险,1,1,业务,法务,产品,处理中,2026-04-01,,待响应,1,149,1,确认第三方模型供应商、调用边界、数据处理方式和责任划分,1
TICKET_006,2026-03-01,CUST_020,拉美_Sa_020,拉美,墨西哥,教育科技,合规材料/认证文件提供,客户合规需求说明,66474,P3,低风险,0,0,业务,法务,产品,待法务确认,2026-06-01,,待响应,0,121,1,提供标准合规材料、认证文件和产品安全说明，必要时整理 FAQ,0
TICKET_007,2026-02-01,CUST_033,中东_金融_033,中东,阿联酋,SaaS软件,日志留存要求,客户合规需求说明,74135,P1,中风险,0,1,业务,法务,产品,新建,2026-06-01,,待响应,1,149,1,拉通产品确认日志留存周期、审计能力、访问权限和可配置范围,0
TICKET_008,2026-06-01,CUST_024,拉美_Sa_024,拉美,墨西哥,跨境电商,合同责任条款修改,客户合规需求说明,77684,P1,低风险,1,0,业务,法务,产品,新建,2026-06-11,,待响应,1,29,1,提交法务评估合同修改诉求，明确责任边界、服务可用性和客户使用限制,0
TICKET_009,2026-02-01,CUST_018,欧洲_教育_018,欧洲,荷兰,教育科技,专属部署要求,客户合规需求说明,63893,P1,高风险,0,1,业务,法务,产品,已回复客户,2026-05-01,2026-02-09,待响应,1,8,0,评估专属部署可行性、资源成本、交付周期和商业报价影响,1
TICKET_010,2026-04-01,CUST_002,欧洲_Sa_002,欧洲,德国,跨境电商,合同责任条款修改,客户合规需求说明,59381,P1,低风险,1,0,业务,法务,产品,已回复客户,2026-04-11,2026-04-04,待响应,1,3,0,提交法务评估合同修改诉求，明确责任边界、服务可用性和客户使用限制,0
TICKET_011,2026-03-01,CUST_024,拉美_Sa_024,拉美,墨西哥,跨境电商,数据处理协议/DPA,客户合规需求说明,34430,P1,低风险,1,0,业务,法务,产品,处理中,2026-03-01,,待响应,1,121,1,提交法务评估 DPA 条款，确认数据处理角色、责任边界和客户签署要求,0
TICKET_012,2026-02-01,CUST_019,北美_游戏_019,北美,美国,SaaS软件,第三方模型调用说明,客户合规需求说明,66925,P0,高风险,1,1,业务,法务,产品,新建,2026-03-01,,待响应,1,149,1,确认第三方模型供应商、调用边界、数据处理方式和责任划分,1
TICKET_013,2026-05-01,CUST_017,中东_跨境_017,中东,沙特,游戏出海,合规材料/认证文件提供,客户合规需求说明,33266,P3,低风险,0,0,业务,法务,产品,待法务确认,2026-05-16,,待响应,0,60,1,提供标准合规材料、认证文件和产品安全说明，必要时整理 FAQ,0
TICKET_014,2026-02-01,CUST_020,拉美_Sa_020,拉美,墨西哥,教育科技,专属部署要求,客户合规需求说明,20970,P1,低风险,0,1,业务,法务,产品,新建,2026-06-01,,待响应,1,149,1,评估专属部署可行性、资源成本、交付周期和商业报价影响,0
TICKET_015,2026-06-01,CUST_039,拉美_金融_039,拉美,巴西,教育科技,合同责任条款修改,客户合规需求说明,75261,P1,低风险,1,0,业务,法务,产品,待法务确认,2026-06-01,,待响应,1,29,1,提交法务评估合同修改诉求，明确责任边界、服务可用性和客户使用限制,0
TICKET_016,2026-02-01,CUST_001,东南_金融_001,东南亚,新加坡,游戏出海,合规材料/认证文件提供,客户合规需求说明,85584,P2,中风险,0,0,业务,法务,产品,新建,2026-05-01,,待响应,0,149,1,提供标准合规材料、认证文件和产品安全说明，必要时整理 FAQ,0
