risk_id,region,country,industry,customer_id,customer_name,risk_type,risk_description,impact_level,probability,risk_level,legal_required,product_required,owner,status,response_action,need_cross_team
RISK_000,中东,阿联酋,SaaS软件,CUST_033,中东_金融_033,模型输出内容安全,模型输出内容安全相关合规检查,低,中,低风险,0,1,产品,已关闭,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_001,欧洲,德国,金融科技,CUST_038,欧洲_跨境_038,专属部署,专属部署相关合规检查,低,中,低风险,0,1,技术,待法务确认,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_002,东南亚,新加坡,游戏出海,CUST_022,东南_游戏_022,第三方模型调用,第三方模型调用相关合规检查,高,中,高风险,0,1,技术,待法务确认,确认第三方模型调用范围、数据处理方式和供应商责任边界,1
RISK_003,北美,美国,金融科技,CUST_013,北美_金融_013,客户知识库数据使用,客户知识库数据使用相关合规检查,高,中,高风险,0,1,法务,待产品确认,确认客户知识库数据是否参与训练、是否隔离存储及访问权限,1
RISK_004,东南亚,新加坡,游戏出海,CUST_003,东南_跨境_003,日志留存,日志留存相关合规检查,高,中,高风险,0,1,技术,待产品确认,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_005,东南亚,马来西亚,金融科技,CUST_010,东南_Sa_010,专属部署,专属部署相关合规检查,低,低,低风险,0,1,产品,未开始,拉通产品和技术评估专属部署可行性、交付周期和资源成本,1
RISK_006,拉美,巴西,金融科技,CUST_029,拉美_Sa_029,数据本地化,数据本地化相关合规检查,高,中,高风险,1,0,业务,处理中,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_007,拉美,巴西,跨境电商,CUST_027,拉美_Sa_027,个人信息处理,个人信息处理相关合规检查,低,中,低风险,1,0,产品,待法务确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
RISK_008,拉美,巴西,SaaS软件,CUST_040,拉美_Sa_040,删除机制,删除机制相关合规检查,高,低,高风险,0,1,产品,已关闭,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_009,拉美,墨西哥,跨境电商,CUST_025,拉美_金融_025,日志留存,日志留存相关合规检查,高,高,高风险,0,1,技术,已关闭,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_010,东南亚,新加坡,游戏出海,CUST_003,东南_跨境_003,合同责任边界,合同责任边界相关合规检查,低,低,低风险,1,0,产品,处理中,提交法务评估合同责任边界，明确客户使用限制、服务责任和免责条款,1
RISK_011,欧洲,荷兰,金融科技,CUST_006,欧洲_金融_006,删除机制,删除机制相关合规检查,低,高,低风险,0,1,业务,待产品确认,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_012,东南亚,新加坡,金融科技,CUST_011,东南_游戏_011,模型输出内容安全,模型输出内容安全相关合规检查,低,低,低风险,0,1,产品,未开始,确认内容安全审核、敏感内容拦截和人工复核机制,1
RISK_013,北美,美国,SaaS软件,CUST_019,北美_游戏_019,日志留存,日志留存相关合规检查,中,中,中风险,0,1,法务,处理中,确认日志留存周期、访问权限和审计能力，必要时同步法务评估,1
RISK_014,欧洲,法国,教育科技,CUST_034,欧洲_金融_034,删除机制,删除机制相关合规检查,高,高,高风险,0,1,法务,处理中,确认用户数据删除机制、日志保留边界和客户侧操作流程,1
RISK_015,欧洲,德国,金融科技,CUST_012,欧洲_教育_012,数据本地化,数据本地化相关合规检查,高,中,高风险,1,0,法务,待产品确认,提交法务评估数据处理边界，并拉通产品确认数据存储、传输和删除机制,1
